Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
RELIANCE,RELIANCE INDUSTRIES LTD,1527.3,INR,0.6259059164580314,6603501,0.5451779985462354,20669346922177,INR,29.674979987409554,51.4676,INR,0.036346744050884464,0.32735367290821,Energy minerals,Strong buy
HDFCBANK,HDFC BANK LTD,1989.3,INR,0.11071410598359648,3931972,0.3452936517731581,15253363081543,INR,21.52922077922078,92.4,INR,2.7580071174377268,1.10594445142642,Finance,Strong buy
TCS,TATA CONSULTANCY SERV LTD,3419.8,INR,0.5586920724535404,1109320,0.44804818816182146,12377295922383,INR,25.483772892025947,134.1952,INR,6.575769584792315,1.75389877080928,Technology services,Buy
BHARTIARTL,BHARTI AIRTEL LTD,2017.2,INR,-0.10399643440795867,2178315,0.32308359670800807,11496955715320,INR,36.39342132800266,55.4276,INR,346.1296995355801,0.396540186869563,Communications,Buy
AIRTELPP.E1,AIRTEL RS. 1.25 PPD UP,1533.25,INR,-0.35095700776655453,69943,0.38651253984323536,11496955715320,INR,,,,,0.130518484680393,Communications,
ICICIBANK,ICICI BANK LTD.,1442.8,INR,1.1852163545830607,5066503,0.4588173854638433,10294086307142,INR,20.712029859316683,69.66,INR,12.4092302727126,0.693168821266419,Finance,Strong buy
SBIN,STATE BANK OF INDIA,811.85,INR,0.5885268244331557,4319538,0.349142609238947,7245452624252,INR,9.341573540512178,86.9072,INR,15.616976327755626,1.95848986881813,Finance,Buy
INFY,INFOSYS LTD,1640.7,INR,1.3591153394699451,4411273,0.6054259801649691,6813838288463,INR,25.49198743346167,64.3614,INR,1.663446972987745,2.62163150835264,Technology services,Buy
LICI,LIFE INSURA CORP OF INDIA,940.7,INR,-0.5602536997885788,787030,0.719506146880621,5952771606689,INR,12.31361697281632,76.3951,INR,18.09578429750917,1.06252988365298,Finance,Buy
BAJFINANCE,BAJAJ FINANCE LTD,925.3,INR,1.6645607866835115,10613046,1.0596757300483135,5749768696167,INR,34.49265637814061,26.826,INR,13.69357914812461,0.475547149419076,Finance,Buy
HINDUNILVR,HINDUSTAN UNILEVER LTD.,2339.3,INR,1.1195642776865258,1242346,0.8691414441569489,5497573858574,INR,51.61419859320254,45.3228,INR,3.619840190217084,1.83776391144542,Consumer non-durables,Buy
ITC,ITC LTD,412.55,INR,-0.19354058304100916,8256733,0.5656943327043433,5162700101585,INR,14.858099834329757,27.766,INR,69.49711257890046,3.47836625863532,Consumer non-durables,Strong buy
LT,LARSEN & TOUBRO LTD.,3594.6,INR,0.32655111780959045,696402,0.3661005529816253,4942628918781,INR,32.89047488333791,109.29,INR,5.131421491482905,0.946100119653839,Industrial services,Strong buy
HCLTECH,HCL TECHNOLOGIES LTD,1725.9,INR,0.8178047783164903,768500,0.28779852590231675,4682021908895,INR,26.92091717360786,64.11,INR,10.763648928818238,3.12979975077521,Technology services,Buy
KOTAKBANK,KOTAK MAHINDRA BANK LTD,2129.8,INR,0.150474936518399,1686215,0.384190406917863,4231941018768.0005,INR,19.137010500286635,111.2922,INR,21.715688097274377,0.0939672993798158,Finance,Buy
SUNPHARMA,SUN PHARMACEUTICAL IND L,1676.3,INR,-0.20241709829136698,1264399,0.552443169177247,4022747188959,INR,36.80107485570896,45.5503,INR,14.125113372719401,0.924462469805863,Health technology,Buy
MARUTI,MARUTI SUZUKI INDIA LTD.,12646,INR,-0.8312421580928481,225607,0.5445565465565712,3976799347572,INR,27.419732884186864,461.2007,INR,4.800786777305713,0.988239944658563,Consumer durables,Buy
