Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
RELIANCE,RELIANCE INDUSTRIES LTD,1251.1,INR,-0.2908946005180387,4737454,0.4078626875067364,17114391531622,INR,24.927425348228816,50.1897,INR,-0.8453581363004192,0.395351,Energy minerals,Buy
TCS,TATA CONSULTANCY SERV LTD,4278.15,INR,5.9249538853881605,6084668,3.468026838121742,14861294005127,INR,32.69609517760969,130.8459,INR,7.218132846486852,1.38771,Technology services,Buy
HDFCBANK,HDFC BANK LTD,1662.6,INR,-0.31178798417076664,5180854,0.5558855447799137,12957393771932,INR,18.340871483728623,90.65,INR,1.5231268899092836,1.15102,Finance,Strong buy
BHARTIARTL,BHARTI AIRTEL LTD,1616.85,INR,0.6098130114184347,2171647,0.6420225151796346,9729245848571,INR,79.88784030831562,20.239,INR,60.088274378282605,0.500328,Communications,Buy
ICICIBANK,ICICI BANK LTD.,1247.15,INR,-1.2080164765525983,3223102,0.3928611956717148,8923203062500,INR,18.850513905683194,66.16,INR,17.367394003902785,0.791139,Finance,Strong buy
INFY,INFOSYS LTD,1967.8,INR,2.6339122724664894,4980558,0.9180003797662795,8026959001789,INR,30.27934301919425,64.9882,INR,8.656114520931819,2.12089,Technology services,Buy
SBIN,STATE BANK OF INDIA,747.1,INR,-1.7555394832007392,8005942,0.6387367135558064,6882667143318,INR,9.317982546399712,80.1783,INR,4.909442049977624,1.77645,Finance,Buy
HINDUNILVR,HINDUSTAN UNILEVER LTD.,2451.1,INR,0.644657961731125,950484,0.7890165716192147,5637961939262,INR,56.08770468545486,43.7012,INR,-0.15558850609902639,1.792,Consumer non-durables,Buy
ITC,ITC LTD,443.75,INR,-1.4107976005332197,5515808,0.27449204903761315,5624013627441,INR,27.01953931304914,16.4233,INR,1.3783950617284064,3.05895,Consumer non-durables,Buy
LICI,LIFE INSURA CORP OF INDIA,846.55,INR,0.40920412762423575,758069,0.6471099057106691,5497371782471,INR,12.894897182025893,65.65,INR,5.914600404298547,1.15055,Finance,Buy
HCLTECH,HCL TECHNOLOGIES LTD,1979.8,INR,2.3258217903659295,2375150,0.9072749458496111,5246464237020,INR,31.921960657852303,62.02,INR,8.88342696629214,2.79308,Technology services,Neutral
LT,LARSEN & TOUBRO LTD.,3531.5,INR,0.10204370872189997,1051695,0.6596217615377891,4945175827685,INR,34.69557981358801,101.7853,INR,0.8050714848810302,0.77861,Industrial services,Strong buy
BAJFINANCE,BAJAJ FINANCE LTD,7297,INR,0.268638053164229,599930,0.5347392436460886,4551665650513,INR,29.363003500865158,248.51,INR,15.040274048699183,0.489576,Finance,Buy
SUNPHARMA,SUN PHARMACEUTICAL IND L,1784.9,INR,-2.269554028526833,402851,0.19740559175125497,4408190586586,INR,38.741871348075605,46.0716,INR,29.310359345134664,0.734774,Health technology,Buy
